Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,401 Co,401.Arq COST,401.Cost Price,401.V.S.P.,401.AVG. WEEK,402 Co,402.Arq COST,402.Cost Price,402.V.S.P.,402.AVG. WEEK,404 Co,404.Arq COST,404.Cost Price,404.V.S.P.,404.AVG. WEEK,405 Co,405.Arq COST,405.Cost Price,405.V.S.P.,405.AVG. WEEK,412 Co,412.Arq COST,412.Cost Price,412.V.S.P.,412.AVG. WEEK,416 Co,416.Arq COST,416.Cost Price,416.V.S.P.,416.AVG. WEEK,417 Co,417.Arq COST,417.Cost Price,417.V.S.P.,417.AVG. WEEK,423 Co,423.Arq COST,423.Cost Price,423.V.S.P.,423.AVG. WEEK,424 Co,424.Arq COST,424.Cost Price,424.V.S.P.,424.AVG. WEEK,425 Co,425.Arq COST,425.Cost Price,425.V.S.P.,425.AVG. WEEK,426 Co,426.Arq COST,426.Cost Price,426.V.S.P.,426.AVG. WEEK,429 Co,429.Arq COST,429.Cost Price,429.V.S.P.,429.AVG. WEEK,444 Co,444.Arq COST,444.Cost Price,444.V.S.P.,444.AVG. WEEK,490 Co,490.Arq COST,490.Cost Price,490.V.S.P.,490.AVG. WEEK,Latest SOH,total sale of Goods,Status
734864,6950000000000.0,ACBZ-AP09      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL RED                                                 ,BASEUS                        ,9.37,19.5,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,Non moving
734865,6950000000000.0,ACBZ-AP01      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL BLACK                                               ,BASEUS                        ,9.369999999999996,19.5,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,Non moving
734866,6950000000000.0,ACBZ-AP0G      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL GREY                                                ,BASEUS                        ,9.369999999999996,19.5,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734867,6950000000000.0,NGW02-01       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET BLACK                                                             ,BASEUS                        ,57.06000000000004,104.5,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57.06000000000004,104.5,219.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.0,Slow moving
734868,6950000000000.0,NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,BASEUS                        ,53.97,104.5,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53.97,104.5,219.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,Slow moving
734869,6950000000000.0,NGS16-09       ,BASEUS ENCOK NECK HUNG BLUETOOTH EARPHONES S16 RED                                                            ,BASEUS                        ,46.64,99.5,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734870,6950000000000.0,NGS16-06       ,BASEUS ENCOK NECK HUNG BLUETOOTH EARPHONES S16 GREEN                                                          ,BASEUS                        ,46.370000000000026,99.5,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,Non moving
734871,6950000000000.0,WXJS-A1        ,BASEUS METAL WIRELESS CHARGER TARNISH/BLACK                                                                   ,BASEUS                        ,31.09,59.5,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734872,6950000000000.0,WXJS-S2        ,BASEUS METAL WIRELESS CHARGER SILVER/WHITE                                                                    ,BASEUS                        ,31.03,59.5,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734873,6950000000000.0,WXBV-01        ,BASEUS BV WIRELESS CHARGER BLACK                                                                              ,BASEUS                        ,20.21,34.5,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
