Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,301 Co,301.Arq COST,301.Cost Price,301.V.S.P.,301.AVG. WEEK,302 Co,302.Arq COST,302.Cost Price,302.V.S.P.,302.AVG. WEEK,306 Co,306.Arq COST,306.Cost Price,306.V.S.P.,306.AVG. WEEK,307 Co,307.Arq COST,307.Cost Price,307.V.S.P.,307.AVG. WEEK,Latest SOH,total sale of Goods,Status
734836,6953156281479.0,WXZN-01        ,BASEUS CAR WIRELESS CHARGER SMART VEHICLE BRACKET                                                             ,BASEUS                        ,51.99000000000001,74.5,149,1.0,51.99,74.5,149.0,0.2,5.0,259.95,372.5,745.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6.0,Fast moving
734837,6953156282964.0,ACHDCJ-01      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL BLACK                                                          ,BASEUS                        ,5.260000000000002,24.5,49,8.0,42.08,196.0,392.0,1.6,4.0,21.04,98.0,196.0,0.8,2.0,10.52,49.0,98.0,0.4,8.0,42.08,196.0,392.0,1.6,30,22.0,Fast moving
734838,6953156282971.0,ACHDCJ-02      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL TRANSPARENT                                                    ,BASEUS                        ,5.389999999999992,24.5,49,4.0,21.56,98.0,196.0,0.8,4.0,21.56,98.0,196.0,0.8,2.0,10.78,49.0,98.0,0.4,1.0,5.39,24.5,49.0,0.2,13,11.0,Fast moving
734867,6953156273887.0,NGW02-01       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET BLACK                                                             ,BASEUS                        ,57.06000000000004,109.5,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57.06,109.5,219.0,0.2,1.0,57.06,109.5,219.0,0.2,10,2.0,Slow moving
734868,6953156273894.0,NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,BASEUS                        ,53.97,109.5,219,1.0,53.97,109.5,219.0,0.2,1.0,53.97,109.5,219.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,53.97,109.5,219.0,0.2,15,3.0,Fast moving
734881,6953156280243.0,WX2IN1-02      ,BASEUS SMART 2 IN 1 WIRELESS CHARGER WHITE                                                                    ,BASEUS                        ,41.14999999999977,89.5,179,5.0,205.75,447.5,895.0,1.0,-1.0,-41.15,-89.5,-179.0,-0.2,2.0,82.3,179.0,358.0,0.4,3.0,123.45,268.5,537.0,0.6,32,9.0,Fast moving
734882,6953156278844.0,PPALL-AKU01    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH BLACK                                                      ,BASEUS                        ,37.61867256637168,69.5,139,0.0,0.0,0.0,0.0,0.0,1.0,37.62,69.5,139.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1.0,Slow moving
734895,6953156276413.0,CCALL-RH01     ,BASEUS LOCOMOTIVE BLUETOOTH MP3 VEHICLE CHARGER BLACK                                                         ,BASEUS                        ,24.729999999999976,49.5,99,0.0,0.0,0.0,0.0,0.0,3.0,74.19,148.5,297.0,0.6,2.0,49.46,99.0,198.0,0.4,0.0,0.0,0.0,0.0,0.0,0,5.0,Fast moving
734899,6953156273030.0,ACCHZ-01       ,BASEUS ROTATION TYPE UNIVERSAL CHARGER BLACK                                                                  ,BASEUS                        ,25.360000000000007,54.5,109,2.0,50.72,109.0,218.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2.0,Slow moving
734904,6953156278622.0,CAHUB-D0G      ,BASEUS CUBE TYPE-C TO USB3.0X3+USB2.0X2 HUB ADAPTER DARK GRAY                                                 ,BASEUS                        ,27.0,64.5,129,2.0,54.0,129.0,258.0,0.4,1.0,27.0,64.5,129.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.0,Fast moving
734907,6953156255814.0,SUGENT-ATR01   ,BASEUS CURVE MAGNET CAR MOUNT                                                                                 ,BASEUS                        ,11.0,24.5,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734909,6953156253025.0,SUER-A01       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET BLACK                                                     ,BASEUS                        ,11.76,24.5,49,3.0,35.28,73.5,147.0,0.6,2.0,23.52,49.0,98.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5.0,Fast moving
734911,6953156253032.0,SUER-A0S       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE SILVER                                               ,BASEUS                        ,12.049999999999995,24.5,49,2.0,24.1,49.0,98.0,0.4,2.0,24.1,49.0,98.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.0,Fast moving
734916,6953156259850.0,SUHS-DP01      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT BLACK                                                             ,BASEUS                        ,13.479999999999993,29.5,59,0.0,0.0,0.0,0.0,0.0,1.0,13.48,29.5,59.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1.0,Slow moving
734920,6953156273085.0,SUYZD-01       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET BLACK                                                             ,BASEUS                        ,13.620000000000053,34.5,69,3.0,40.86,103.5,207.0,0.6,2.0,27.24,69.0,138.0,0.4,1.0,13.62,34.5,69.0,0.2,3.0,40.86,103.5,207.0,0.6,7,9.0,Fast moving
734921,6953156273092.0,SUYZD-09       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET RED                                                               ,BASEUS                        ,13.949999999999998,34.5,69,2.0,27.9,69.0,138.0,0.4,1.0,13.95,34.5,69.0,0.2,1.0,13.95,34.5,69.0,0.2,2.0,27.9,69.0,138.0,0.4,2,6.0,Fast moving
734922,6953156273108.0,SUYZD-0S       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET SILVER                                                            ,BASEUS                        ,13.950000000000017,34.5,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41.85,103.5,207.0,0.6,4,3.0,Fast moving
