Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,301 Co,301.Arq COST,301.Cost Price,301.V.S.P.,301.AVG. WEEK,302 Co,302.Arq COST,302.Cost Price,302.V.S.P.,302.AVG. WEEK,306 Co,306.Arq COST,306.Cost Price,306.V.S.P.,306.AVG. WEEK,307 Co,307.Arq COST,307.Cost Price,307.V.S.P.,307.AVG. WEEK,Latest SOH,total sale of Goods,Status
734836,6953156281479.0,WXZN-01        ,BASEUS CAR WIRELESS CHARGER SMART VEHICLE BRACKET                                                             ,BASEUS                        ,51.99000000000001,74.5,149,2.0,103.98,149.0,298.0,0.67,1.0,51.99,74.5,149.0,0.33,1.0,51.99,74.5,149.0,0.33,0.0,0.0,0.0,0.0,0.0,14,4.0,Fast moving
734837,6953156282964.0,ACHDCJ-01      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL BLACK                                                          ,BASEUS                        ,5.260000000000002,24.5,49,8.0,42.08,196.0,392.0,2.67,1.0,5.26,24.5,49.0,0.33,5.0,26.3,122.5,245.0,1.67,4.0,21.04,98.0,196.0,1.33,47,18.0,Fast moving
734838,6953156282971.0,ACHDCJ-02      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL TRANSPARENT                                                    ,BASEUS                        ,5.389999999999992,24.5,49,5.0,26.95,122.5,245.0,1.67,3.0,16.17,73.5,147.0,1.0,9.0,48.51,220.5,441.0,3.0,8.0,43.12,196.0,392.0,2.67,40,25.0,Fast moving
734867,6953156273887.0,NGW02-01       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET BLACK                                                             ,BASEUS                        ,57.06000000000004,109.5,219,1.0,57.06,109.5,219.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,171.18,328.5,657.0,1.0,24,4.0,Fast moving
734868,6953156273894.0,NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,BASEUS                        ,53.97,109.5,219,1.0,53.97,109.5,219.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,107.94,219.0,438.0,0.67,15,3.0,Fast moving
734881,6953156280243.0,WX2IN1-02      ,BASEUS SMART 2 IN 1 WIRELESS CHARGER WHITE                                                                    ,BASEUS                        ,41.14999999999977,89.5,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734882,6953156278844.0,PPALL-AKU01    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH BLACK                                                      ,BASEUS                        ,37.61867256637168,69.5,139,0.0,0.0,0.0,0.0,0.0,3.0,112.86,208.5,417.0,1.0,2.0,75.24,139.0,278.0,0.67,0.0,0.0,0.0,0.0,0.0,13,5.0,Fast moving
734895,6953156276413.0,CCALL-RH01     ,BASEUS LOCOMOTIVE BLUETOOTH MP3 VEHICLE CHARGER BLACK                                                         ,BASEUS                        ,24.729999999999976,49.5,99,1.0,24.73,49.5,99.0,0.33,4.0,98.92,198.0,396.0,1.33,2.0,49.46,99.0,198.0,0.67,4.0,98.92,198.0,396.0,1.33,7,11.0,Fast moving
734899,6953156273030.0,ACCHZ-01       ,BASEUS ROTATION TYPE UNIVERSAL CHARGER BLACK                                                                  ,BASEUS                        ,25.360000000000007,54.5,109,1.0,25.36,54.5,109.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1.0,Slow moving
734904,6953156278622.0,CAHUB-D0G      ,BASEUS CUBE TYPE-C TO USB3.0X3+USB2.0X2 HUB ADAPTER DARK GRAY                                                 ,BASEUS                        ,27.0,64.5,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,54.0,129.0,258.0,0.67,15,2.0,Slow moving
734907,6953156255814.0,SUGENT-ATR01   ,BASEUS CURVE MAGNET CAR MOUNT                                                                                 ,BASEUS                        ,11.0,24.5,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734909,6953156253025.0,SUER-A01       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET BLACK                                                     ,BASEUS                        ,11.76,24.5,49,4.0,47.04,98.0,196.0,1.33,3.0,35.28,73.5,147.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,23.52,49.0,98.0,0.67,19,9.0,Fast moving
734911,6953156253032.0,SUER-A0S       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE SILVER                                               ,BASEUS                        ,12.049999999999995,24.5,49,1.0,12.05,24.5,49.0,0.33,1.0,12.05,24.5,49.0,0.33,0.0,0.0,0.0,0.0,0.0,2.0,24.1,49.0,98.0,0.67,14,4.0,Fast moving
734916,6953156259850.0,SUHS-DP01      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT BLACK                                                             ,BASEUS                        ,13.479999999999993,29.5,59,3.0,40.44,88.5,177.0,1.0,4.0,53.92,118.0,236.0,1.33,1.0,13.48,29.5,59.0,0.33,2.0,26.96,59.0,118.0,0.67,8,10.0,Fast moving
734920,6953156273085.0,SUYZD-01       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET BLACK                                                             ,BASEUS                        ,13.620000000000053,34.5,69,6.0,81.72,207.0,414.0,2.0,2.0,27.24,69.0,138.0,0.67,0.0,0.0,0.0,0.0,0.0,5.0,68.1,172.5,345.0,1.67,15,13.0,Fast moving
734921,6953156273092.0,SUYZD-09       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET RED                                                               ,BASEUS                        ,13.949999999999998,34.5,69,1.0,13.95,34.5,69.0,0.33,1.0,13.95,34.5,69.0,0.33,0.0,0.0,0.0,0.0,0.0,2.0,27.9,69.0,138.0,0.67,14,4.0,Fast moving
734922,6953156273108.0,SUYZD-0S       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET SILVER                                                            ,BASEUS                        ,13.950000000000017,34.5,69,3.0,41.85,103.5,207.0,1.0,3.0,41.85,103.5,207.0,1.0,2.0,27.9,69.0,138.0,0.67,4.0,55.8,138.0,276.0,1.33,6,12.0,Fast moving
734927,6953156253063.0,SUER-B01       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET BLACK                                                             ,BASEUS                        ,11.760000000000007,24.5,49,4.0,47.04,98.0,196.0,1.33,2.0,23.52,49.0,98.0,0.67,0.0,0.0,0.0,0.0,0.0,2.0,23.52,49.0,98.0,0.67,10,8.0,Fast moving
734928,6953156253070.0,SUER-B0S       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE SILVER                                                       ,BASEUS                        ,11.76,24.5,49,1.0,11.76,24.5,49.0,0.33,4.0,47.04,98.0,196.0,1.33,1.0,11.76,24.5,49.0,0.33,2.0,23.52,49.0,98.0,0.67,10,8.0,Fast moving
734941,6953156281691.0,WXXP-01        ,BASEUS WIRELESS CHARGER SUCTION CUP BLACK                                                                     ,BASEUS                        ,22.190000000000005,44.5,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.19,44.5,89.0,0.33,1.0,22.19,44.5,89.0,0.33,16,2.0,Slow moving
734942,6953156281370.0,TZARGS-09      ,BASEUS CASE FOR AIRPODS RED                                                                                   ,BASEUS                        ,7.461149425287359,24.5,49,4.0,29.84,98.0,196.0,1.33,1.0,7.46,24.5,49.0,0.33,0.0,0.0,0.0,0.0,0.0,3.0,22.38,73.5,147.0,1.0,10,8.0,Fast moving
734943,6953156281363.0,TZARGS-01      ,BASEUS CASE FOR AIRPODS BLACK                                                                                 ,BASEUS                        ,7.610000000000008,24.5,49,3.0,22.83,73.5,147.0,1.0,2.0,15.22,49.0,98.0,0.67,1.0,7.61,24.5,49.0,0.33,2.0,15.22,49.0,98.0,0.67,20,8.0,Fast moving
734944,6953156281387.0,TZARGS-G2      ,BASEUS CASE FOR AIRPODS GRAY                                                                                  ,BASEUS                        ,7.610000000000008,24.5,49,1.0,7.61,24.5,49.0,0.33,5.0,38.05,122.5,245.0,1.67,0.0,0.0,0.0,0.0,0.0,2.0,15.22,49.0,98.0,0.67,20,8.0,Fast moving
734948,6953156276673.0,ACSR-MS01      ,BASEUS MAGIC MONSTER GAMEPAD STYLE POWER BANK 2000MAH                                                         ,BASEUS                        ,24.14000000000001,54.5,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
738078,6953156284647.0,ACSLCJ-06      ,BASEUS GRENADE BLACK/ARMY GREEN GRIP FOR SMARTPHONES                                                          ,BASEUS                        ,9.509999999999998,24.5,49,4.0,38.04,98.0,196.0,1.33,1.0,9.51,24.5,49.0,0.33,1.0,9.51,24.5,49.0,0.33,5.0,47.55,122.5,245.0,1.67,77,11.0,Fast moving
739727,6953156282940.0,WIAPPOD-01     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER BLACK FOR AIRPODS                                                     ,BASEUS                        ,17.33,49.5,99,3.0,51.99,148.5,297.0,1.0,1.0,17.33,49.5,99.0,0.33,1.0,17.33,49.5,99.0,0.33,5.0,86.65,247.5,495.0,1.67,55,10.0,Fast moving
739728,6953156282957.0,WIAPPOD-09     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER RED FOR AIRPODS                                                       ,BASEUS                        ,17.33,49.5,99,1.0,17.33,49.5,99.0,0.33,2.0,34.66,99.0,198.0,0.67,2.0,34.66,99.0,198.0,0.67,1.0,17.33,49.5,99.0,0.33,22,6.0,Fast moving
742248,6953156284630.0,ACSLCJ-01      ,BASEUS GRENADE BLACK GRIP FOR SMARTPHONES                                                                     ,BASEUS                        ,9.313366214549943,24.5,49,5.0,46.57,122.5,245.0,1.67,6.0,55.88,147.0,294.0,2.0,3.0,27.94,73.5,147.0,1.0,3.0,27.94,73.5,147.0,1.0,48,17.0,Fast moving
742249,6953156286603.0,SUCJLF-01      ,BASEUS WINNER COOLING HEAT SINK BLACK FOR SMARTPHONES                                                         ,BASEUS                        ,21.039999999999992,49.5,99,3.0,63.12,148.5,297.0,1.0,1.0,21.04,49.5,99.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4.0,Fast moving
742292,6953156279650.0,SGAPIPD-CX02   ,BASEUS 0.3MM TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                                             ,BASEUS                        ,14.434906542056074,39.5,79,2.0,28.87,79.0,158.0,0.67,1.0,14.43,39.5,79.0,0.33,1.0,14.43,39.5,79.0,0.33,4.0,57.74,158.0,316.0,1.33,20,8.0,Fast moving
742293,6953156279667.0,SGAPIPD-DX02   ,BASEUS 0.3MM ANTI-BLUE LIGHT TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                             ,BASEUS                        ,16.32,49.5,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.32,49.5,99.0,0.33,0.0,0.0,0.0,0.0,0.0,17,1.0,Slow moving
742294,6953156282100.0,LTAPIPD-ASM03  ,BASEUS SIMPLISM Y-TYPE LEATHER CASE BLUE FOR IPAD PRO 11-INCH                                                 ,BASEUS                        ,38.140000000000015,79.5,159,1.0,38.14,79.5,159.0,0.33,1.0,38.14,79.5,159.0,0.33,0.0,0.0,0.0,0.0,0.0,2.0,76.28,159.0,318.0,0.67,24,4.0,Fast moving
742296,6953156279148.0,SUGENT-XF01    ,BASEUS SUSPENSION GLASS DESKTOP BRACKET BLACK FOR SMARTPHONES                                                 ,BASEUS                        ,17.77073170731708,39.5,79,1.0,17.77,39.5,79.0,0.33,1.0,17.77,39.5,79.0,0.33,1.0,17.77,39.5,79.0,0.33,1.0,17.77,39.5,79.0,0.33,14,4.0,Fast moving
742298,6953156270640.0,ACAPIPHX-BJ01  ,BASEUS PLAID BLACK 3500MAH POWER BANK FOR IPHONE X                                                            ,BASEUS                        ,46.77602739726026,94.5,189,5.0,233.88,472.5,945.0,1.67,4.0,187.1,378.0,756.0,1.33,4.0,187.1,378.0,756.0,1.33,3.0,140.33,283.5,567.0,1.0,2,16.0,Fast moving
742300,6953156284401.0,ACPCL-01       ,BASEUS GOLDEN CUDGEL CAPACITIVE STYLUS BLACK                                                                  ,BASEUS                        ,14.4749710982659,29.5,59,3.0,43.42,88.5,177.0,1.0,4.0,57.9,118.0,236.0,1.33,6.0,86.85,177.0,354.0,2.0,1.0,14.47,29.5,59.0,0.33,14,14.0,Fast moving
743939,6953156282247.0,NGH08-01       ,BASEUS H08 BLACK IMMERSIVE VIRTUAL 3D GAMING IN-EAR EARPHONES                                                 ,BASEUS                        ,76.0,144.5,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,152.0,289.0,578.0,0.67,1.0,76.0,144.5,289.0,0.33,15,3.0,Fast moving
