SKU,Product Name,Description,VMS Cost,V.S.P.,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,TOTAL JAN,TOTAL FEB,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,TOTAL,AVG. WEEK
,,,,,ALL STORES,,,,,,,,,,,,DCC (Deira City Centre - Dubai)-401,,,,,,,,,,AUH (Abu Dhabi Mall - Abu Dhabi)-402,,,,,,,,,,MER (Mercato Mall - Dubai)-404,,,,,,,,,,MOE  (Mall Of Emirates - Dubai)-405,,,,,,,,,,MCC (Mirdif City Center - Dubai)-412,,,,,,,,,,TDM (The Dubai Mall - Dubai )-416,,,,,,,,,,AWM (Al Wahda Mall - Abu Dhabi)-417,,,,,,,,,,DMM (Dubai Marina Mall - Dubai)-423,,,,,,,,,,YAS (YAS Mall - Abu Dhabi)-424,,,,,,,,,,ARD (Arabian Ranches - Dubai)-425,,,,,,,,,,JIMI (Al Jimi Mall - Al Ain)-426,,,,,,,,,,SAHA (Sahara Centre - Sharjah)-429,,,,,,,,,
734848,SUBR-ASG       ,BASEUS BEAR MAGNETIC CAR BRACKET SILVER GRAY                                                                  ,29.5,59,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734864,ACBZ-AP09      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL RED                                                 ,24.5,49,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734865,ACBZ-AP01      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL BLACK                                               ,24.5,49,0,0,0,1,0,0,,,1,1,0,0.166666667,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,,,1,0.166666667,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734866,ACBZ-AP0G      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL GREY                                                ,24.5,49,0,0,0,1,0,1,,,2,1,1,0.333333333,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,1,,,2,0.333333333,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734867,NGW02-01       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET BLACK                                                             ,104.5,219,3,1,3,0,3,2,,,12,10,2,2,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,,,1,0.166666667,0,0,0,0,0,0,,,0,0,1,0,1,0,0,0,,,2,0.333333333,0,0,0,0,0,0,,,0,0,2,0,0,0,1,0,,,3,0.5,0,0,0,0,1,0,,,1,0.166666667,0,0,1,0,0,1,,,2,0.333333333,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,,,1,0.166666667,0,0,0,0,0,0,,,0,0,0,1,0,0,1,0,,,2,0.333333333
734868,NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,104.5,219,0,0,1,1,1,2,,,5,3,2,0.833333333,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,,,1,0.166666667,0,0,0,0,0,0,,,0,0,0,0,1,0,0,1,,,2,0.333333333,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,,,1,0.166666667,0,0,0,0,0,0,,,0,0,0,0,0,1,0,-1,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,,,1,0.166666667,0,0,0,0,0,0,,,0,0
734869,NGS16-09       ,BASEUS ENCOK NECK HUNG BLUETOOTH EARPHONES S16 RED                                                            ,99.5,209,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734870,NGS16-06       ,BASEUS ENCOK NECK HUNG BLUETOOTH EARPHONES S16 GREEN                                                          ,99.5,209,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734871,WXJS-A1        ,BASEUS METAL WIRELESS CHARGER TARNISH/BLACK                                                                   ,79.5,169,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
734872,WXJS-S2        ,BASEUS METAL WIRELESS CHARGER SILVER/WHITE                                                                    ,79.5,169,0,0,1,0,0,0,,,1,1,0,0.166666667,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,,,1,0.166666667,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0
