,Sku,UPC,Catalogue N,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,01-2019: QTY SOLD,01-2019: QTY SOLDArqoob Cost,01-2019: QTY SOLDQTY SOLD VALUE,02-2019: QTY SOLD,02-2019: QTY SOLDArqoob Cost,02-2019: QTY SOLDQTY SOLD VALUE,03-2019: QTY SOLD,03-2019: QTY SOLDArqoob Cost,03-2019: QTY SOLDQTY SOLD VALUE,04-2019: QTY SOLD,04-2019: QTY SOLDArqoob Cost,04-2019: QTY SOLDQTY SOLD VALUE,05-2019: QTY SOLD,05-2019: QTY SOLDArqoob Cost,05-2019: QTY SOLDQTY SOLD VALUE,Total Qty Sold,Total Arghoob Cost,Total Arqhoob Price,Qty Avg Day,Qty Avg Month,Value Avg Month,Qty Stock Value,Days Stock in Hand,Current stock cover upto (Week),Current stock cover upto (Month),Current stock cover upto (Date)
0,758231,7450000000000.0,BHL-715        ,BRAVEN                        ,1,30.0,62,54,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,33,33,990.0,33.0,33.0,990.0,0.22,6.6,198.0,1620.0,245.45,35.0,8.0,2020-04-08
1,734836,6950000000000.0,WXZN-01        ,BASEUS                        ,1,69.5,149,6,6,6,417.0,4,4,278.0,14,14,973.0,6,6,417.0,15,15,1042.5,45.0,45.0,3127.5,0.3,9.0,625.5,417.0,20.0,3.0,1.0,2019-08-27
2,734837,6950000000000.0,ACHDCJ-01      ,BASEUS                        ,1,24.5,49,39,82,82,2009.0,36,36,882.0,40,40,980.0,32,32,784.0,33,33,808.5,223.0,223.0,5463.5,1.48,44.6,1092.7,955.5,26.35,4.0,1.0,2019-09-02
3,734838,6950000000000.0,ACHDCJ-02      ,BASEUS                        ,1,24.5,49,34,67,67,1641.5,37,37,906.5,33,33,808.5,37,37,906.5,36,36,882.0,210.0,210.0,5145.0,1.39,42.0,1029.0,833.0,24.46,3.0,1.0,2019-09-01
4,734881,6950000000000.0,WX2IN1-02      ,BASEUS                        ,1,84.5,179,12,19,19,1605.5,4,4,338.0,14,14,1183.0,29,29,2450.5,23,23,1943.5,89.0,89.0,7520.5,0.59,17.8,1504.1,1014.0,20.34,3.0,1.0,2019-08-27
5,734906,6950000000000.0,SGAPIPHX-TZ01  ,BASEUS                        ,1,49.5,109,25,0,0,0.0,1,1,49.5,14,14,693.0,14,14,693.0,6,6,297.0,35.0,35.0,1732.5,0.23,7.0,346.5,1237.5,108.7,16.0,4.0,2019-11-24
6,734920,6950000000000.0,SUYZD-01       ,BASEUS                        ,1,34.5,69,8,11,11,379.5,11,11,379.5,19,19,655.5,26,26,897.0,28,28,966.0,95.0,95.0,3277.5,0.63,19.0,655.5,276.0,12.7,2.0,0.0,2019-08-20
7,734922,6950000000000.0,SUYZD-0S       ,BASEUS                        ,1,34.5,69,10,11,11,379.5,4,4,138.0,22,22,759.0,18,18,621.0,9,9,310.5,64.0,64.0,2208.0,0.42,12.8,441.6,345.0,23.81,3.0,1.0,2019-08-31
8,734927,6950000000000.0,SUER-B01       ,BASEUS                        ,1,24.5,49,27,12,12,294.0,12,12,294.0,16,16,392.0,21,21,514.5,21,21,514.5,82.0,82.0,2009.0,0.54,16.4,401.8,661.5,50.0,7.0,2.0,2019-09-26
9,734943,6950000000000.0,TZARGS-01      ,BASEUS                        ,1,24.5,49,4,14,14,343.0,15,15,367.5,11,11,269.5,11,11,269.5,6,6,147.0,57.0,57.0,1396.5,0.38,11.4,279.3,98.0,10.53,2.0,0.0,2019-08-18
10,735670,6950000000000.0,SGAPIPHX-RA01  ,BASEUS                        ,1,19.5,39,22,4,4,78.0,12,12,234.0,26,26,507.0,16,16,312.0,3,3,58.5,61.0,61.0,1189.5,0.4,12.2,237.9,429.0,55.0,8.0,2.0,2019-10-01
