PERIODE DU 26/05/19 AU 01/06/19,,,,,,,,VILL,,,LMK,,,MOQ,,,DFC,,,TTL SOLD QTY,TTL SOLD VALUE,SOH
Sku,UPC,Catalogue Nï,Title,Label,Cost Price,V.S.P.,,301.Quantit,301.Sales Quantity,301.Sales Value,302.Quantit,302.Sales Quantity,302.Sales Value,306.Quantit,306.Sales Quantity,306.Sales Value,307.Quantit,307.Sales Quantity,307.Sales Value,,,
739728,6.95E+12,WIAPPOD-09     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER RED FOR AIRPODS                                                       ,BASEUS                        ,49.5,99,19,10,1,99,1,1,99,4,0,0,4,0,0,2,198,19
742248,6.95E+12,ACSLCJ-01      ,BASEUS GRENADE BLACK GRIP FOR SMARTPHONES                                                                     ,BASEUS                        ,24.5,49,28,13,4,196,1,5,245,10,0,0,4,0,0,9,441,28
742249,6.95E+12,SUCJLF-01      ,BASEUS WINNER COOLING HEAT SINK BLACK FOR SMARTPHONES                                                         ,BASEUS                        ,49.5,99,11,6,0,0,1,2,198,4,0,0,0,0,0,2,198,11
742292,6.95E+12,SGAPIPD-CX02   ,BASEUS 0.3MM TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                                             ,BASEUS                        ,39.5,79,21,4,2,158,4,0,0,5,0,0,8,0,0,2,158,21
742293,6.95E+12,SGAPIPD-DX02   ,BASEUS 0.3MM ANTI-BLUE LIGHT TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                             ,BASEUS                        ,49.5,99,14,3,1,99,4,0,0,3,0,0,4,0,0,1,99,14
742294,6.95E+12,LTAPIPD-ASM03  ,BASEUS SIMPLISM Y-TYPE LEATHER CASE BLUE FOR IPAD PRO 11-INCH                                                 ,BASEUS                        ,79.5,159,21,7,0,0,4,0,0,6,0,0,4,0,0,0,0,21
742296,6.95E+12,SUGENT-XF01    ,BASEUS SUSPENSION GLASS DESKTOP BRACKET BLACK FOR SMARTPHONES                                                 ,BASEUS                        ,39.5,79,6,1,0,0,0,0,0,5,0,0,0,0,0,0,0,6
742298,6.95E+12,ACAPIPHX-BJ01  ,BASEUS PLAID BLACK 3500MAH POWER BANK FOR IPHONE X                                                            ,BASEUS                        ,94.5,189,11,3,0,0,2,1,189,2,0,0,4,0,0,1,189,11
742300,6.95E+12,ACPCL-01       ,BASEUS GOLDEN CUDGEL CAPACITIVE STYLUS BLACK                                                                  ,BASEUS                        ,29.5,59,11,1,0,0,0,0,0,5,0,0,5,3,177,3,177,11
743939,6.95E+12,NGH08-01       ,BASEUS H08 BLACK IMMERSIVE VIRTUAL 3D GAMING IN-EAR EARPHONES                                                 ,BASEUS                        ,144.5,289,11,2,0,0,4,0,0,3,0,0,2,0,0,0,0,11
