Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,01-2019 total sale of Goods,02-2019 total sale of Goods,03-2019 total sale of Goods,04-2019 total sale of Goods,05-2019 total sale of Goods,06-2019 total sale of Goods,07-2019 total sale of Goods,08-2019 total sale of Goods,09-2019 total sale of Goods,Existence on Shop,3 months avrage sale,Stock Status,profit,Profit status,Final Status,Non Moving Action,Reordering
665858,6953156293274,NGW01-02       ,BASEUS ENCOK W01 WHITE TRUE WIRELESS IN-EAR EARPHONES                                                         ,BASEUS                        ,66.22,114.5,239,38,0,0,0,0,0,4,4,9,2,0 month,5,Slow moving,241.4,Most profitable,Slow moving - Most profitable,-,-
665859,6953156293243,NGA03-01       ,BASEUS ENCOK A03 BLACK WIRELESS IN-EAR EARPHONES                                                              ,BASEUS                        ,30.82,69.5,149,22,0,0,0,0,0,0,12,9,0,0 month,7,Fast moving,270.76,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
665860,6953156293250,NGA03-02       ,BASEUS ENCOK A03 WHITE WIRELESS IN-EAR EARPHONES                                                              ,BASEUS                        ,27.19,69.5,149,37,0,0,0,0,0,0,10,6,1,0 month,5.67,Slow moving,239.8977,Most profitable,Slow moving - Most profitable,-,-
665862,6953156294073,WXYDIW02-01    ,BASEUS DOTTER BLACK WIRELESS CHARGER FOR APPLE WATCH                                                          ,BASEUS                        ,23.57,49.5,109,35,0,0,0,0,0,1,9,10,1,0 month,6.67,Fast moving,172.9531,Profitable,Fast moving - Profitable,-,-
671807,6953156294080,WXYDIW02-02    ,BASEUS DOTTER WHITE WIRELESS CHARGER FOR APPLE WATCH                                                          ,BASEUS                        ,23.57,49.5,109,46,0,0,0,0,0,0,8,5,1,Min 3 months,4.67,Slow moving,121.0931,Profitable,Slow moving - Profitable,-,-
671812,6953156292079,PPLG-01        ,BASEUS AMBLIGHT 30000MAH POWER BANK BLACK                                                                     ,BASEUS                        ,88.91,144.5,299,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
674011,6953156286504,SUDYZP-D19     ,BASEUS FULLY FOLDING SELFIE STICK BLACK/RED                                                                   ,BASEUS                        ,45.32,74.5,159,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
676636,6953156286498,SUDYZP-D1S     ,BASEUS FULLY FOLDING SELFIE STICK BLACK/SLIVER                                                                ,BASEUS                        ,45.32,74.5,159,34,0,0,0,0,0,0,11,11,4,Min 3 months,8.67,Fast moving,252.9906,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
676638,6953156286481,SUDYZP-D1V     ,BASEUS FULLY FOLDING SELFIE STICK BLACK/GOLD                                                                  ,BASEUS                        ,45.32,74.5,159,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
676641,7447902860074,BDC-480 SILVER ,BRAVE MFI LIGHTNING CABLE 1M SILVER                                                                           ,BRAVE                         ,15.43,29.5,59,24,0,0,0,0,0,5,33,22,2,Min 3 months,19,Fast moving,267.33,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
676642,7447902862818,BDC-480 BLACK  ,BRAVE MFI LIGHTNING CABLE 1M BLACK                                                                            ,BRAVE                         ,15.43,29.5,59,19,0,0,0,0,0,5,35,26,11,Min 3 months,24,Fast moving,337.68,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
734835,6953156282308,SUGENT-ZN01    ,BASEUS SMART CAR MOUNT CELL PHONE HOLDER BLACK                                                                ,BASEUS                        ,34.57,49.5,99,0,4,1,1,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734836,6953156281479,WXZN-01        ,BASEUS CAR WIRELESS CHARGER SMART VEHICLE BRACKET                                                             ,BASEUS                        ,51.99,69.5,149,5,6,4,14,6,15,9,30,5,3,Min 3 months,12.67,Fast moving,221.8517,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
734837,6953156282964,ACHDCJ-01      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL BLACK                                                          ,BASEUS                        ,5.26,24.5,49,18,82,36,40,32,33,25,9,20,1,Min 3 months,10,Fast moving,192.4,Profitable,Fast moving - Profitable,-,-
734838,6953156282971,ACHDCJ-02      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL TRANSPARENT                                                    ,BASEUS                        ,5.39,24.5,49,8,67,37,33,37,36,15,21,18,4,Min 3 months,14.33,Fast moving,273.8463,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
734839,6953156278806,WXHSD-D01      ,BASEUS WIRELESS CHARGER POWER BANK 10000MAH BLACK                                                             ,BASEUS                        ,67.55,129.5,269,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734840,6953156278813,WXHSD-D02      ,BASEUS WIRELESS CHARGER POWER BANK 10000MAH WHITE                                                             ,BASEUS                        ,67.55,129.5,269,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734864,6953156278554,ACBZ-AP09      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL RED                                                 ,BASEUS                        ,9.37,19.5,39,3,0,0,1,1,0,0,0,0,0,Min 3 months,0,Non moving,0,Run out of stock,Non moving - Run out of stock,Buying Price,-
734865,6953156278547,ACBZ-AP01      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL BLACK                                               ,BASEUS                        ,9.37,19.5,39,3,1,0,1,0,1,0,0,0,0,Min 3 months,0,Non moving,0,Run out of stock,Non moving - Run out of stock,Buying Price,-
734866,6953156278561,ACBZ-AP0G      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL GREY                                                ,BASEUS                        ,9.37,19.5,39,0,1,1,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734867,6953156273887,NGW02-01       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET BLACK                                                             ,BASEUS                        ,57.06,104.5,219,3,10,4,11,5,7,1,3,1,0,Min 3 months,1.33,Slow moving,63.0952,Profitable,Slow moving - Profitable,-,-
734868,6953156273894,NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,BASEUS                        ,53.97,104.5,219,6,3,4,4,4,1,1,0,0,0,Min 3 months,0,Non moving,0,Run out of stock,Non moving - Run out of stock,Buying Price,-
734869,6953156264519,NGS16-09       ,BASEUS ENCOK NECK HUNG BLUETOOTH EARPHONES S16 RED                                                            ,BASEUS                        ,46.64,99.5,209,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734870,6953156264502,NGS16-06       ,BASEUS ENCOK NECK HUNG BLUETOOTH EARPHONES S16 GREEN                                                          ,BASEUS                        ,46.37,99.5,209,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734871,6953156271685,WXJS-A1        ,BASEUS METAL WIRELESS CHARGER TARNISH/BLACK                                                                   ,BASEUS                        ,31.09,59.5,119,0,0,1,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734872,6953156271692,WXJS-S2        ,BASEUS METAL WIRELESS CHARGER SILVER/WHITE                                                                    ,BASEUS                        ,31.03,59.5,119,0,1,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734873,6953156277953,WXBV-01        ,BASEUS BV WIRELESS CHARGER BLACK                                                                              ,BASEUS                        ,20.21,34.5,69,0,2,1,3,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734874,6953156277960,WXBV-02        ,BASEUS BV WIRELESS CHARGER WHITE                                                                              ,BASEUS                        ,20.25,34.5,69,0,0,0,3,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734875,6953156277977,WXBV-03        ,BASEUS BV WIRELESS CHARGER BLUE                                                                               ,BASEUS                        ,20.25,44.5,99,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734876,6953156272965,CCALL-JK01     ,BASEUS SIMPLE WIRELESS CHARGER BLACK                                                                          ,BASEUS                        ,25.97,49.5,99,0,1,1,3,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734877,6953156272972,CCALL-JK02     ,BASEUS SIMPLE WIRELESS CHARGER WHITE                                                                          ,BASEUS                        ,25.65,49.5,99,1,3,0,1,0,0,0,0,0,0,Min 3 months,0,Non moving,0,Run out of stock,Non moving - Run out of stock,Buying Price,-
734878,6953156273825,CCALL-AJK01    ,BASEUS SIMPLE WIRELESS CHARGER TRANSPARENT                                                                    ,BASEUS                        ,24.62,54.5,119,0,1,2,2,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734879,6953156276390,WXXHJ-B01      ,BASEUS DUAL WIRELESS CHARGER BLACK +WALL CHARGER & CABLE                                                      ,BASEUS                        ,77.21,94.5,199,0,5,1,3,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734880,6953156276406,WXXHJ-B0S      ,BASEUS DUAL WIRELESS CHARGER SILVER +WALL CHARGER & CABLE                                                     ,BASEUS                        ,76.08,94.5,199,15,0,0,4,8,7,12,0,0,0,0 month,0,Non moving,0,Run out of stock,Non moving - Run out of stock,-,-
734881,6953156280243,WX2IN1-02      ,BASEUS SMART 2 IN 1 WIRELESS CHARGER WHITE                                                                    ,BASEUS                        ,41.15,84.5,179,16,19,4,14,29,23,12,17,14,3,0 month,11.33,Fast moving,491.1555,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
734882,6953156278844,PPALL-AKU01    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH BLACK                                                      ,BASEUS                        ,37.61867257,64.5,139,8,4,3,10,8,6,5,21,7,1,Min 3 months,9.67,Fast moving,259.9424363,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
734883,6953156278851,PPALL-AKU02    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH WHITE                                                      ,BASEUS                        ,31.07,64.5,139,7,1,0,2,3,7,5,4,3,0,0 month,2.33,Slow moving,77.8919,Profitable,Slow moving - Profitable,-,-
734884,6953156273016,PPALL-EX01     ,BASEUS DUAL OUTPUT WIRELESS CHARGE POWER BANK 8000MAH BLACK                                                   ,BASEUS                        ,43.38,69.5,149,0,4,3,4,9,0,0,2,0,0,Min 3 months,0.67,Run out of stock,17.5004,Less profitable,Run out of stock - Less profitable,-,Stop Ordering
734885,6953156273023,PPALL-EX09     ,BASEUS DUAL OUTPUT WIRELESS CHARGE POWER BANK 8000MAH RED                                                     ,BASEUS                        ,43.13447761,79.5,169,4,1,1,5,1,0,1,0,0,0,Min 3 months,0,Non moving,0,Run out of stock,Non moving - Run out of stock,Buying Price,-
734886,6953156273665,PPALL-PX01     ,BASEUS PARALLEL LINE POWER BANK 10000MAH BLACK                                                                ,BASEUS                        ,26.9,59.5,129,0,2,0,0,4,1,1,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734887,6953156273672,PPALL-PX02     ,BASEUS PARALLEL LINE POWER BANK 10000MAH WHITE                                                                ,BASEUS                        ,26.9,49.5,99,8,0,1,7,5,9,5,5,1,0,Min 3 months,2,Slow moving,45.2,Profitable,Slow moving - Profitable,-,-
734888,6953156273689,PPALL-PX03     ,BASEUS PARALLEL LINE POWER BANK 10000MAH BLUE                                                                 ,BASEUS                        ,26.96,59.5,129,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734889,6953156271197,PPKC-A01       ,BASEUS POWERFUL TYPE-C PD+QC3.0 20000MAH POWER BANK BLACK                                                     ,BASEUS                        ,61.89,119.5,249,3,1,0,0,4,5,5,7,3,1,Min 3 months,3.67,Slow moving,211.4287,Most profitable,Slow moving - Most profitable,-,-
734890,6953156271203,PPKC-A02       ,BASEUS POWERFUL TYPE-C PD+QC3.0 20000MAH POWER BANK WHITE                                                     ,BASEUS                        ,63.4,119.5,249,3,0,0,1,1,4,4,3,0,0,0 month,1,Slow moving,56.1,Profitable,Slow moving - Profitable,-,-
734891,6953156271210,PPKC-A09       ,BASEUS POWERFUL TYPE-C PD+QC3.0 20000MAH POWER BANK RED                                                       ,BASEUS                        ,63.4,119.5,249,0,0,0,2,1,2,1,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734892,6953156275188,PPALL-QY01     ,BASEUS THIN WIRELESS CHARGE 10000MAH POWER BANK BLACK                                                         ,BASEUS                        ,50.97,109.5,229,3,0,1,2,0,0,0,0,0,0,0 month,0,Non moving,0,Run out of stock,Non moving - Run out of stock,-,-
734893,6953156275195,PPALL-QY02     ,BASEUS THIN WIRELESS CHARGE 10000 MAH POWER BANK WHITE                                                        ,BASEUS                        ,49.81,109.5,229,0,0,0,5,6,6,4,4,3,0,0 month,2.33,Run out of stock,139.0777,Profitable,Run out of stock - Profitable,-,-
734894,6953156275201,PPALL-QY04     ,BASEUS THIN WIRELESS CHARGE 10000MAH POWER BANK PINK                                                          ,BASEUS                        ,49.81,109.5,229,1,0,0,0,0,0,0,0,0,0,0 month,0,Non moving,0,Run out of stock,Non moving - Run out of stock,-,-
734895,6953156276413,CCALL-RH01     ,BASEUS LOCOMOTIVE BLUETOOTH MP3 VEHICLE CHARGER BLACK                                                         ,BASEUS                        ,24.73,44.5,99,3,12,8,13,3,3,3,1,0,0,0 month,0.33,Non moving,6.5241,Less profitable,Non moving - Less profitable,-,-
734896,6953156278721,CCALL-TM01     ,BASEUS T TYPED BLUETOOTH MP3 CHARGER WITH CAR HOLDER BLACK                                                    ,BASEUS                        ,24.02,39.5,79,0,3,2,1,1,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734897,6953156278738,CCALL-TM0A     ,BASEUS T TYPED BLUETOOTH MP3 CHARGER WITH CAR HOLDER TARNISH                                                  ,BASEUS                        ,23.39,49.5,109,0,0,0,1,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734898,6953156278745,CCALL-TM12     ,BASEUS T TYPED BLUETOOTH MP3 CHARGER WITH CAR HOLDER DARK COFFEE                                              ,BASEUS                        ,22.86,39.5,79,1,0,0,3,4,1,0,0,0,0,0 month,0,Non moving,0,Run out of stock,Non moving - Run out of stock,-,-
734899,6953156273030,ACCHZ-01       ,BASEUS ROTATION TYPE UNIVERSAL CHARGER BLACK                                                                  ,BASEUS                        ,25.36,49.5,109,4,4,3,2,10,5,11,9,7,1,Min 3 months,5.67,Slow moving,136.8738,Profitable,Slow moving - Profitable,-,-
734900,6953156278523,ACDKQ-HG01     ,BASEUS PENDANT CARD READER BLACK                                                                              ,BASEUS                        ,17.55,39.5,79,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734901,6953156278530,ACDKQ-HG0S     ,BASEUS PENDANT CARD READER SILVER                                                                             ,BASEUS                        ,17.55,39.5,79,0,0,0,0,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734902,6953156267503,ACAPIPH-EA9    ,BASEUS RED-HAT TYPE-C 32GB USB FLASH DISK                                                                     ,BASEUS                        ,47.3,74.5,159,1,2,0,0,0,1,0,0,0,0,0 month,0,Non moving,0,Run out of stock,Non moving - Run out of stock,-,-
